Year,Sex,Hgt,Wgt,Haircut,GPA,Exercise,Sport,TV,Award,Pulse,SocialMedia
FirstYear,M,72,200,35,NA,3,Yes,12,Olympic,NA,Snapchat
FirstYear,M,69,160,18,NA,21,Yes,14,Olympic,130,Instagram
Sophomore,M,70,265,25,2.5,NA,No,NA,Olympic,80,Snapchat
Sophomore,F,64,135,90,3.4,5,No,15,Olympic,70,Instagram
Sophomore,M,72,165,20,3.21,7,No,9,Nobel,74,Snapchat
Sophomore,M,73,NA,20,3.15,7,No,5,Nobel,NA,Instagram
Sophomore,F,67,140,60,3.3,14,Yes,14,Olympic,70,Instagram
Senior,M,74,177,24,3.94,12,Yes,12,Nobel,48,Snapchat
Sophomore,M,69,158,0,3.13,18,Yes,10,Nobel,NA,Instagram
FirstYear,F,68,124,30,NA,5,No,5,Academy,100,Instagram
Sophomore,F,63,145,0,3.01,3,No,0,Nobel,57,Snapchat
FirstYear,F,68,150,NA,NA,10,Yes,7,Olympic,130,Snapchat
Sophomore,M,71,240,0,3,10,Yes,50,Nobel,90,Twitter
FirstYear,M,70,165,25,NA,15,Yes,5,Olympic,66,Snapchat
Sophomore,F,66,155,0,3.4,8,Yes,2,Nobel,53,Twitter
FirstYear,F,66,140,35,NA,15,Yes,3,Nobel,60,Instagram
Sophomore,M,74,156,12,3.23,14,Yes,7,Olympic,50,Snapchat
FirstYear,M,70,160,0,NA,14,No,10,Olympic,84,Twitter
FirstYear,M,72,160,30,NA,9,No,5,Nobel,78,Instagram
FirstYear,M,67,125,14,NA,7,No,15,Nobel,NA,Facebook
Sophomore,M,73,155,19,NA,8,No,4,Nobel,NA,Snapchat
