Year,Sex,Hgt,Wgt,Haircut,GPA,Exercise,Sport,TV,Award,Pulse,SocialMedia
FirstYear,M,72,150,35,3.93,8,No,5,Olympic,60,Snapchat
FirstYear,F,66,150,150,3.8,2,No,2,Academy,78,Snapchat
FirstYear,F,66,150,30,3.44,7,No,10,Nobel,90,Snapchat
FirstYear,F,68,143,325,NA,8,No,7,NA,63,Instagram
Sophomore,M,73,170,50,3.6,2,No,5,Nobel,78,Snapchat
FirstYear,M,71,170,10,3.4,3,No,15,Olympic,NA,Snapchat
FirstYear,F,65,150,65,3.44,5,No,10,Olympic,75,Instagram
Sophomore,F,65,145,30,3.46,0,No,20,Nobel,36,Instagram
FirstYear,F,64,118,190,2.5,2,No,5,Nobel,66,Snapchat
FirstYear,F,64,156,60,3.89,6,Yes,10,Nobel,62,Snapchat
Junior,M,72,184,21,3.82,4.5,No,3,Nobel,65,Snapchat
FirstYear,M,71,200,0,3.4,10,Yes,5,Olympic,70,Snapchat
FirstYear,F,61,147,0,2.7,4,No,18,Nobel,65,Instagram
FirstYear,M,72,150,20,2.9,6,No,4,Nobel,68,Instagram
FirstYear,F,68,150,75,3.44,3,No,10,Nobel,72,Snapchat
FirstYear,M,75,173,20,3.25,10,Yes,4,Olympic,65,Snapchat
FirstYear,M,77,140,25,3.1,2,No,15,Nobel,100,Instagram
FirstYear,F,NA,100,35,3.5,5,No,10,Academy,NA,Snapchat
FirstYear,F,64,116,80,3.3,3,Yes,5,Nobel,92,Instagram
FirstYear,M,67,165,6,3.5,1,No,15,Nobel,75,Facebook
FirstYear,F,66,155,80,3,5,No,8,Olympic,78,Snapchat
FirstYear,F,68,137,0,3,10,Yes,4,Olympic,79,Snapchat
FirstYear,F,59,135,80,NA,18,Yes,6,Nobel,NA,Instagram
FirstYear,M,71,175,15,3,7,Yes,7,Olympic,56,Snapchat
FirstYear,F,63,115,50,3.66,2,No,15,Nobel,NA,Snapchat
Sophomore,F,62,140,0,3.36,2,No,7,Nobel,85,Instagram
Sophomore,M,71,150,40,3.01,4,No,6,Olympic,75,Instagram
Sophomore,F,68,190,20,3.34,10,Yes,3,Nobel,80,Instagram
Sophomore,F,64,120,20,3.55,0,No,2,Nobel,66,Instagram
Sophomore,M,72,180,18,3.5,10,No,10,Nobel,72,Instagram
Sophomore,F,63,130,20,3,0,No,10,Nobel,195,Instagram
Sophomore,M,72,176,20,3.1,6,No,12,Nobel,160,Instagram
Sophomore,M,74,275,25,2.8,5,Yes,20,Olympic,76,Twitter
FirstYear,F,54,142,35,3.12,4,No,5,Olympic,NA,Snapchat
FirstYear,F,64,135,60,2.92,0,No,7,Nobel,NA,Snapchat
Sophomore,M,70,176,18,3.6,7,No,4,Olympic,80,Instagram
Junior,M,74,161,25,2.5,12,Yes,8,Academy,70,Instagram
FirstYear,F,66,180,140,NA,7,No,7,Academy,100,Snapchat
FirstYear,F,64,170,NA,NA,10,No,14,Nobel,75,None
FirstYear,F,63,120,130,NA,1,No,2,Nobel,71,Instagram
Sophomore,F,60,NA,16,NA,6,No,5,Nobel,60,Snapchat
Sophomore,F,62,109,50,3.5,10,No,30,Nobel,79,Instagram
Junior,M,69,170,15,NA,15,Yes,5,Olympic,60,Instagram
Junior,F,68,156,40,3.64,15,Yes,5,Olympic,70,Snapchat
Sophomore,F,65,180,40,3.1,5,No,2,Nobel,65,Instagram
Sophomore,M,67,160,17,2.5,14,Yes,30,Olympic,60,Twitter
FirstYear,F,64,130,50,NA,5,No,3,Olympic,60,Instagram
